object_id,frame,x,y,w,h,area,solidity,eccentricity,focus_score,quality_score,cluster
57,RCNHSha_20250509_234048_IMG8,1364,1132,59,64,2255,0.8206,0.7092,16.1962,0.3526,33
58,RCNHSha_20250509_234048_IMG8,2059,1165,63,65,2672,0.9452,0.6408,22.8374,0.4133,49
59,RCNHSha_20250509_234048_IMG8,972,1170,98,84,2339,0.5104,0.7312,15.6851,0.2624,40
60,RCNHSha_20250509_234048_IMG8,1336,1269,51,44,1519,0.9313,0.6003,20.0506,0.3602,10
61,RCNHSha_20250509_234048_IMG8,1165,1370,89,56,3051,0.9405,0.8195,11.3509,0.4155,2
62,RCNHSha_20250509_234048_IMG8,1155,1465,43,40,1332,0.9666,0.4778,16.4307,0.3597,6
63,RCNHSha_20250509_234048_IMG8,3187,1551,52,68,2197,0.9189,0.7319,16.2261,0.3798,7
64,RCNHSha_20250509_234048_IMG8,3138,1864,35,56,1563,0.9571,0.7894,15.365,0.365,7
65,RCNHSha_20250509_234048_IMG8,2272,1963,57,53,2115,0.9116,0.619,21.4454,0.3795,10
66,RCNHSha_20250509_234048_IMG8,2223,2031,57,96,4149,0.9395,0.8164,19.2552,0.4671,14
67,RCNHSha_20250509_234048_IMG8,2709,2050,55,48,1726,0.922,0.7249,16.9739,0.3626,6
68,RCNHSha_20250509_234048_IMG8,2694,2107,74,52,1228,0.4944,0.8962,11.473,0.2089,2
69,RCNHSha_20250509_234048_IMG8,1101,2205,37,55,1358,0.9693,0.8421,20.7119,0.3658,14
70,RCNHSha_20250509_234048_IMG8,2367,2290,42,45,1330,0.9736,0.6356,14.1093,0.3594,14
71,RCNHSha_20250509_234048_IMG8,2786,2297,98,59,2583,0.679,0.7594,18.5934,0.3256,49
72,RCNHSha_20250509_234048_IMG8,2582,2524,58,56,2130,0.8666,0.7509,15.2566,0.3604,3
73,RCNHSha_20250509_234048_IMG8,1235,2543,55,69,2117,0.8139,0.8524,11.2736,0.3401,7
74,RCNHSha_20250509_234048_IMG8,2028,2632,46,97,2204,0.7461,0.9322,18.6472,0.3306,49
75,RCNHSha_20250509_234048_IMG8,1559,2705,54,73,2517,0.7536,0.8003,11.12,0.3379,7
76,RCNHSha_20250510_000902_IMG1,2030,296,204,44,2651,0.3853,0.9895,21.7319,0.2434,4
77,RCNHSha_20250510_000902_IMG1,2896,709,39,67,1448,0.7358,0.9088,23.8644,0.3025,43
